station,year,month,day,daily_rainfall_total_mm,highest_30_min_rainfall_mm,highest_60_min_rainfall_mm,highest_120_min_rainfall_mm,mean_temperature_c,maximum_temperature_c,minimum_temperature_c,mean_wind_speed_km_h,max_wind_speed_km_h,date
Paya Lebar,2024,1,1,21.6,9.2,13.2,14.6,25.9,28.8,24.5,6.5,24.1,2024-01-01
Paya Lebar,2024,1,2,0,0,0,0,27.8,32.6,24.2,7,31.5,2024-01-02
Paya Lebar,2024,1,3,1.6,1.6,1.6,1.6,27.7,32.6,25.5,7.1,29.6,2024-01-03
Paya Lebar,2024,1,4,63.8,13.8,19.8,26.6,25,26.9,23.7,7.2,25.9,2024-01-04
Paya Lebar,2024,1,5,4.4,1.6,3,3.2,26.8,30.8,24.5,8.4,35.2,2024-01-05
Paya Lebar,2024,1,6,3,3,3,3,28.1,33.1,24.9,7.6,27.8,2024-01-06
Paya Lebar,2024,1,7,59.8,15.4,17.4,21.8,24.6,27.3,23.5,4.9,18.5,2024-01-07
Paya Lebar,2024,1,8,0,0,0,0,27.2,32.5,22.9,8.5,31.5,2024-01-08
Paya Lebar,2024,1,9,2,0.6,0.8,1.2,27.3,30.9,24.9,7.3,29.6,2024-01-09
Paya Lebar,2024,1,10,56.4,15.4,24.4,30.4,26.5,29.4,24.5,6.4,42.6,2024-01-10
Paya Lebar,2024,1,11,5,4.4,4.4,4.6,27.5,30.4,25.2,7.8,29.6,2024-01-11
Paya Lebar,2024,1,12,10.8,4,4.6,5.6,25.4,27.8,23.6,6.1,35.2,2024-01-12
Paya Lebar,2024,1,13,2.6,2.6,2.6,2.6,27.1,32.3,23.9,6.1,25.9,2024-01-13
Paya Lebar,2024,1,14,0,0,0,0,28.2,32.1,25.9,8.3,31.5,2024-01-14
Paya Lebar,2024,1,15,0,0,0,0,28.7,32.8,26.2,9.6,37,2024-01-15
Paya Lebar,2024,1,16,20.2,9.2,12,17.2,27.2,31.6,23.8,7.9,35.2,2024-01-16
Paya Lebar,2024,1,17,10,3.8,5,6,27.6,32.2,24.7,11.8,42.6,2024-01-17
Paya Lebar,2024,1,18,3.6,3,3,3,27.4,31.1,25.7,7.9,35.2,2024-01-18
Paya Lebar,2024,1,19,12.2,4.4,6.8,8,26.6,31.6,24.2,5.9,42.6,2024-01-19
Paya Lebar,2024,1,20,16.8,2.6,4.6,6.6,24.7,26.4,23.3,5.7,24.1,2024-01-20
Paya Lebar,2024,1,21,11.8,9.2,9.6,11.6,26.9,33.2,22.9,6.3,35.2,2024-01-21
Paya Lebar,2024,1,22,0,0,0,0.2,28,32.2,24.6,7.7,22.2,2024-01-22
Paya Lebar,2024,1,23,24.4,20.6,24,24.4,27.3,33.6,24.2,7.1,24.1,2024-01-23
Paya Lebar,2024,1,24,91,30,37.6,37.6,26.8,31.2,24.2,8.3,31.5,2024-01-24
Paya Lebar,2024,1,25,22.2,16,19,19.8,25.8,31.2,24.1,6.9,27.8,2024-01-25
Paya Lebar,2024,1,26,0.2,0.2,0.2,0.2,28.3,32.5,25.3,12.9,38.9,2024-01-26
Paya Lebar,2024,1,27,0,0,0,0,28.7,32.6,26.1,12.9,42.6,2024-01-27
Paya Lebar,2024,1,28,2.6,1.2,1.2,2.2,28.2,32.5,25.9,12.2,38.9,2024-01-28
Paya Lebar,2024,1,29,0,0,0,0,28.4,32.7,26,12.2,40.7,2024-01-29
Paya Lebar,2024,1,30,0.8,0.8,0.8,0.8,28,32.5,25.4,10.1,31.5,2024-01-30
Paya Lebar,2024,1,31,0,0,0,0,28.4,33.3,25.7,10.3,31.5,2024-01-31
Paya Lebar,2024,2,1,0,0,0,0,28.7,33.1,26,11.2,35.2,2024-02-01
Paya Lebar,2024,2,2,0,0,0,0,28.8,33.5,25.9,10,35.2,2024-02-02
Paya Lebar,2024,2,3,0,0,0,0,29,34.6,26,10.3,29.6,2024-02-03
Paya Lebar,2024,2,4,0,0,0,0,29.1,34,25.1,8.6,25.9,2024-02-04
Paya Lebar,2024,2,5,0,0,0,0,29,34.4,25.5,11,37,2024-02-05
Paya Lebar,2024,2,6,42.4,35.2,40.4,42.4,28.5,34.4,24.2,7.9,29.6,2024-02-06
Paya Lebar,2024,2,7,0,0,0,0,28.8,34.3,25.9,9.3,33.3,2024-02-07
Paya Lebar,2024,2,8,0.2,0.2,0.2,0.2,28.9,33.9,25.9,9.2,25.9,2024-02-08
Paya Lebar,2024,2,9,21.6,11,14.6,20.8,27.8,33.6,25.7,8.3,29.6,2024-02-09
Paya Lebar,2024,2,10,11.6,4.4,6.6,10.2,28.1,33.2,24.8,10.6,33.3,2024-02-10
Paya Lebar,2024,2,11,8.8,6.2,7.8,8.8,28.3,33.5,24.7,11.1,40.7,2024-02-11
Paya Lebar,2024,2,12,5.2,1.8,1.8,8.6,26.7,29.7,25.2,9.1,40.7,2024-02-12
Paya Lebar,2024,2,13,21.8,17.4,17.8,18.8,27.1,30.2,24.3,10,53.7,2024-02-13
Paya Lebar,2024,2,14,1.6,1.2,1.2,1.2,28.2,32.8,25.4,10.9,42.6,2024-02-14
Paya Lebar,2024,2,15,13.8,12,12.4,12.4,27.3,30.9,25.1,8.7,37,2024-02-15
Paya Lebar,2024,2,16,0.2,0.2,0.2,0.2,28.3,32.6,26.2,11,40.7,2024-02-16
Paya Lebar,2024,2,17,0,0,0,0,28.5,33.1,25.7,11.1,40.7,2024-02-17
Paya Lebar,2024,2,18,0,0,0,0,29,34.1,25.8,10.5,35.2,2024-02-18
Paya Lebar,2024,2,19,0,0,0,0,29.4,34.3,26.3,12.1,37,2024-02-19
Paya Lebar,2024,2,20,0,0,0,0,29.4,34.1,26.4,10.9,29.6,2024-02-20
Paya Lebar,2024,2,21,0.6,0.6,0.6,0.6,28.7,34.1,26.5,8.6,24.1,2024-02-21
Paya Lebar,2024,2,22,0,0,0,0,28.8,33.2,25.6,8.2,29.6,2024-02-22
Paya Lebar,2024,2,23,0,0,0,0,29,33.4,26.2,10.9,33.3,2024-02-23
Paya Lebar,2024,2,24,0,0,0,0,28.8,32.8,26.2,10.2,33.3,2024-02-24
Paya Lebar,2024,2,25,0,0,0,0,29.4,34.5,25.8,10.4,37,2024-02-25
Paya Lebar,2024,2,26,0,0,0,0,29.3,34.4,26.3,13,37,2024-02-26
Paya Lebar,2024,2,27,0.4,0.4,0.4,0.4,28.5,30.7,26.8,9.6,35.2,2024-02-27
Paya Lebar,2024,2,28,0,0,0,0,29.3,33.5,26.5,11.6,37,2024-02-28
Paya Lebar,2024,2,29,0,0,0,0,29.8,34.9,26.4,11.6,38.9,2024-02-29
Paya Lebar,2024,3,1,0,0,0,0,29.4,33.8,27,11,40.7,2024-03-01
Paya Lebar,2024,3,2,2.4,2.4,2.4,2.4,29,33.9,26.6,10.1,38.9,2024-03-02
Paya Lebar,2024,3,3,14.4,10.4,11.4,11.4,27.6,31.6,24.7,8.4,38.9,2024-03-03
Paya Lebar,2024,3,4,6.2,3.8,3.8,5.8,28.8,33.2,24.4,9.7,35.2,2024-03-04
Paya Lebar,2024,3,5,57.8,19,23.8,35,26.5,33.5,24.2,5.6,25.9,2024-03-05
Paya Lebar,2024,3,6,8.6,8.4,8.6,8.6,27.6,33.5,25.1,5.3,25.9,2024-03-06
Paya Lebar,2024,3,7,27.6,11.4,14.4,23.8,28.1,34.3,24.8,5.6,25.9,2024-03-07
Paya Lebar,2024,3,8,10.2,6.6,8.8,10,27.3,31.7,24.7,4.2,31.5,2024-03-08
Paya Lebar,2024,3,9,0,0,0,0,28.9,33.9,25.7,8.9,27.8,2024-03-09
Paya Lebar,2024,3,10,0,0,0,0,28.8,32.9,26.4,9.3,33.3,2024-03-10
Paya Lebar,2024,3,11,0,0,0,0,29.4,33.9,26.4,10.4,35.2,2024-03-11
Paya Lebar,2024,3,12,0,0,0,0,29.7,34.3,27.5,10.6,31.5,2024-03-12
Paya Lebar,2024,3,13,0,0,0,0,29.7,35.2,26.1,10.8,38.9,2024-03-13
Paya Lebar,2024,3,14,0,0,0,0,29.5,35,26.3,11.2,31.5,2024-03-14
Paya Lebar,2024,3,15,0,0,0,0,28.9,33.3,25.4,9.7,31.5,2024-03-15
Paya Lebar,2024,3,16,0,0,0,0,29.4,34.4,25.8,10.7,35.2,2024-03-16
Paya Lebar,2024,3,17,0,0,0,0,30,35.2,26.1,11.1,40.7,2024-03-17
Paya Lebar,2024,3,18,0,0,0,0,30.2,35.5,26.5,11.7,35.2,2024-03-18
Paya Lebar,2024,3,19,3.2,1.6,2.4,2.6,29.3,34.5,26.8,11.3,33.3,2024-03-19
Paya Lebar,2024,3,20,0,0,0,0,29.3,33.2,26.6,11.7,37,2024-03-20
Paya Lebar,2024,3,21,0.8,0.8,0.8,0.8,29,32.7,26.8,10.2,33.3,2024-03-21
Paya Lebar,2024,3,22,0,0,0,0,29.4,33.8,26.1,11.7,31.5,2024-03-22
Paya Lebar,2024,3,23,0,0,0,0,30,35.7,26.3,10.7,29.6,2024-03-23
Paya Lebar,2024,3,24,0,0,0,0,30,35.3,26.4,10.2,33.3,2024-03-24
Paya Lebar,2024,3,25,0,0,0,0,30.3,35.4,26.5,10.8,31.5,2024-03-25
Paya Lebar,2024,3,26,0,0,0,0,30.5,35.5,26.8,11.7,35.2,2024-03-26
Paya Lebar,2024,3,27,0,0,0,0,30.5,35.7,26.8,11,33.3,2024-03-27
Paya Lebar,2024,3,28,0,0,0,0,30.4,35.4,27.4,10.3,33.3,2024-03-28
Paya Lebar,2024,3,29,0,0,0,0,30.6,35.8,27.4,10.4,35.2,2024-03-29
Paya Lebar,2024,3,30,0,0,0,0,30.4,35.4,27.8,9.7,33.3,2024-03-30
Paya Lebar,2024,3,31,19.8,9.8,10,10,29.2,33.9,27,4.9,22.2,2024-03-31
Paya Lebar,2024,4,1,0,0,0,0,29.3,33.5,26,6.8,22.2,2024-04-01
Paya Lebar,2024,4,2,0,0,0,0,30.6,34.7,26.9,7.9,25.9,2024-04-02
Paya Lebar,2024,4,3,4.8,4.6,4.8,4.8,30,33.9,27.7,6.6,25.9,2024-04-03
Paya Lebar,2024,4,4,33.6,21.6,31.8,33.6,28.6,35.5,24.4,5.9,35.2,2024-04-04
Paya Lebar,2024,4,5,0,0,0,0,29.7,35.3,25.8,7,31.5,2024-04-05
Paya Lebar,2024,4,6,0,0,0,0,30,35.1,26,9.2,31.5,2024-04-06
Paya Lebar,2024,4,7,14.6,13.8,14.6,14.6,30.2,35.1,26.4,9.1,29.6,2024-04-07
Paya Lebar,2024,4,8,0.6,0.6,0.6,0.6,29.3,33.8,25.8,4.9,35.2,2024-04-08
Paya Lebar,2024,4,9,0,0,0,0,30.9,36,26.6,7.9,35.2,2024-04-09
Paya Lebar,2024,4,10,8,7.6,7.6,7.6,29.1,33.6,26.4,6.8,37,2024-04-10
Paya Lebar,2024,4,11,11,5.2,6,6.2,29.1,33.4,25.6,9.9,38.9,2024-04-11
Paya Lebar,2024,4,12,86.2,37.6,52.4,59.6,26,28.7,24,6.3,37,2024-04-12
Paya Lebar,2024,4,13,0,0,0,0,29.4,35,25,8.6,33.3,2024-04-13
Paya Lebar,2024,4,14,0.4,0.2,0.2,0.2,28.9,32.2,27.1,7.6,33.3,2024-04-14
Paya Lebar,2024,4,15,0,0,0,0,29.5,34.1,26.8,9.3,27.8,2024-04-15
Paya Lebar,2024,4,16,9.8,4.8,6.2,6.8,27.3,28.8,25.9,5.6,24.1,2024-04-16
Paya Lebar,2024,4,17,1.8,1.8,1.8,1.8,28.4,32.7,25.4,5.6,31.5,2024-04-17
Paya Lebar,2024,4,18,3.2,3,3.2,3.2,28.9,33.4,25.7,6.4,33.3,2024-04-18
Paya Lebar,2024,4,19,9.6,9.2,9.4,9.4,29.2,33.4,25.8,4.6,24.1,2024-04-19
Paya Lebar,2024,4,20,52.4,24.2,25.2,26.4,27.7,32.7,24.2,4.5,33.3,2024-04-20
Paya Lebar,2024,4,21,9.2,8.2,9.2,9.2,28.6,34.4,25.8,3.9,33.3,2024-04-21
Paya Lebar,2024,4,22,2.6,2.6,2.6,2.6,29.1,33.2,26.6,5.4,25.9,2024-04-22
Paya Lebar,2024,4,23,0,0,0,0,30,34.3,27.2,5.9,20.4,2024-04-23
Paya Lebar,2024,4,24,0,0,0,0,30,33.3,27.4,7.6,27.8,2024-04-24
Paya Lebar,2024,4,25,3,3,3,3,29.9,35.6,27.6,6.1,29.6,2024-04-25
Paya Lebar,2024,4,26,0,0,0,0,30.5,36.4,27,5.9,27.8,2024-04-26
Paya Lebar,2024,4,27,0,0,0,0,30.7,34.1,27.9,6.2,24.1,2024-04-27
Paya Lebar,2024,4,28,10.8,10.2,10.8,10.8,29.3,33.5,24.6,7.9,46.3,2024-04-28
Paya Lebar,2024,4,29,0,0,0,0,30.3,34.8,26.5,7.1,27.8,2024-04-29
Paya Lebar,2024,4,30,0,NA,0,0,30.6,33.9,27.8,8.1,22.2,2024-04-30
Paya Lebar,2024,5,1,17.4,16,17.4,17.4,30.3,34.9,25.2,7.3,27.8,2024-05-01
Paya Lebar,2024,5,2,2.2,5.8,18.4,19.6,29.5,32.9,26.4,5.6,33.3,2024-05-02
Paya Lebar,2024,5,3,0,0,0,0,30.1,34.3,27.4,6,24.1,2024-05-03
Paya Lebar,2024,5,4,103.2,NA,NA,NA,26.5,29.4,23.6,4.7,25.9,2024-05-04
Paya Lebar,2024,5,5,0,NA,NA,NA,29.8,34.4,25.8,7.5,31.5,2024-05-05
Paya Lebar,2024,5,6,0,0,0,0,30.2,34.5,28.1,8.6,29.6,2024-05-06
Paya Lebar,2024,5,7,23.2,22.4,22.8,23,28.4,32.7,25.3,5.8,33.3,2024-05-07
Paya Lebar,2024,5,8,11.8,10.6,11.6,11.8,28.3,31.5,24.9,5.2,22.2,2024-05-08
Paya Lebar,2024,5,9,0,0,0,0,30,34.7,26.8,7.4,24.1,2024-05-09
Paya Lebar,2024,5,10,0,0,0,0,29.7,33.7,27.1,7.1,40.7,2024-05-10
Paya Lebar,2024,5,11,0,0,0,0,29.8,34.1,27.2,8,25.9,2024-05-11
Paya Lebar,2024,5,12,4.6,4.2,4.6,4.6,29.4,33.6,27.3,5.2,35.2,2024-05-12
Paya Lebar,2024,5,13,1.8,0.8,1,1,28.7,33.7,26.7,5.2,27.8,2024-05-13
Paya Lebar,2024,5,14,31.4,30.8,31.4,31.4,28.6,35.3,23.8,5.5,27.8,2024-05-14
Paya Lebar,2024,5,15,0,0,0,0,29.3,33.5,26.4,5.6,33.3,2024-05-15
Paya Lebar,2024,5,16,12.2,8,10.2,10.2,28,32,25,5.6,40.7,2024-05-16
Paya Lebar,2024,5,17,5.2,4.8,5.2,5.2,29,33,25.6,6.2,33.3,2024-05-17
Paya Lebar,2024,5,18,0.8,0.6,0.6,0.6,29.1,33.6,26.9,5.8,35.2,2024-05-18
Paya Lebar,2024,5,19,0,0,0,0,29.6,33.1,27.4,10,33.3,2024-05-19
Paya Lebar,2024,5,20,14.6,9,11,11.8,28.2,30.7,25.4,7.6,37,2024-05-20
Paya Lebar,2024,5,21,0,0,0,0,29.1,32.4,27.4,7.9,33.3,2024-05-21
Paya Lebar,2024,5,22,9.6,2.8,3,5.4,28,30.5,26,4.6,22.2,2024-05-22
Paya Lebar,2024,5,23,5.6,4.8,5.2,5.4,28.4,33.1,26,6.2,24.1,2024-05-23
Paya Lebar,2024,5,24,2.2,0.8,0.8,1.2,27.9,32.6,25.3,4.2,22.2,2024-05-24
Paya Lebar,2024,5,25,17.4,13,13.2,13.2,27.8,33.6,25.5,4.6,33.3,2024-05-25
Paya Lebar,2024,5,26,0,0,0,0,29.3,33.3,26.4,6.4,22.2,2024-05-26
Paya Lebar,2024,5,27,0,0,0,0,30.4,34.2,28.2,10.1,33.3,2024-05-27
Paya Lebar,2024,5,28,0,0,0,0,30.2,33.6,27.4,8.3,46.3,2024-05-28
Paya Lebar,2024,5,29,0,0,0,0,30.4,35,27.6,9.3,33.3,2024-05-29
Paya Lebar,2024,5,30,0,0,0,0,29.8,32.5,28,10.9,42.6,2024-05-30
Paya Lebar,2024,5,31,0,0,0,0,29.3,32.5,27.2,7.3,24.1,2024-05-31
Paya Lebar,2024,6,1,16.4,6.2,9.4,11.4,27.3,29.5,25.1,7.7,22.2,2024-06-01
Paya Lebar,2024,6,2,1.8,0.8,1,1.4,27.4,31.6,25.5,5,22.2,2024-06-02
Paya Lebar,2024,6,3,0,0,0,0,28.7,33.1,25.7,5.2,25.9,2024-06-03
Paya Lebar,2024,6,4,0,0,0,0,29.4,33.3,26.3,6.3,31.5,2024-06-04
Paya Lebar,2024,6,5,0,0,0,0,30.3,33.5,27.3,8.4,22.2,2024-06-05
Paya Lebar,2024,6,6,18.6,10.8,16.8,18.6,28.9,33.8,25.1,6.4,29.6,2024-06-06
Paya Lebar,2024,6,7,1,0.8,1,1,28.6,32.6,25.8,4.9,25.9,2024-06-07
Paya Lebar,2024,6,8,0,0,0,0,28.8,32.5,26.8,5.6,24.1,2024-06-08
Paya Lebar,2024,6,9,17.8,11.6,17.8,17.8,28.9,32.5,25,7.3,35.2,2024-06-09
Paya Lebar,2024,6,10,9,6.4,6.8,6.8,28.9,32.7,26.4,5.7,22.2,2024-06-10
Paya Lebar,2024,6,11,0,0,0,0,29.3,34.9,26.5,5.8,25.9,2024-06-11
Paya Lebar,2024,6,12,4.4,4.4,4.4,4.4,28.7,31.9,25.5,5.5,22.2,2024-06-12
Paya Lebar,2024,6,13,0.2,0.2,0.2,0.2,29.8,34.6,26.2,5.2,24.1,2024-06-13
Paya Lebar,2024,6,14,13.4,13,13.2,13.4,28.4,33.1,23.9,4.8,38.9,2024-06-14
Paya Lebar,2024,6,15,0.4,0.4,0.4,0.4,28.6,32.7,26,4.7,29.6,2024-06-15
Paya Lebar,2024,6,16,12.4,4.8,5.6,6.4,28.3,32.2,23.6,7.5,25.9,2024-06-16
Paya Lebar,2024,6,17,0,0,0,0,29.3,33.9,26.7,6.9,50,2024-06-17
Paya Lebar,2024,6,18,1.6,1,1,1,28.5,32.4,25.9,6.3,37,2024-06-18
Paya Lebar,2024,6,19,0,0,0,0,28.8,30.7,26.7,9,29.6,2024-06-19
Paya Lebar,2024,6,20,8.8,6.8,6.8,6.8,29.3,33.1,25.4,8.2,31.5,2024-06-20
Paya Lebar,2024,6,21,47.6,19,20.2,32.8,27.5,30.3,22.7,11.3,31.5,2024-06-21
Paya Lebar,2024,6,22,46.4,15,26,39,26.4,28.6,23.1,8.6,33.3,2024-06-22
Paya Lebar,2024,6,23,0,0,0,0,28.3,32.1,25.3,7.6,29.6,2024-06-23
Paya Lebar,2024,6,24,0.2,0.2,0.2,0.2,29.3,32.7,26.7,8.9,33.3,2024-06-24
Paya Lebar,2024,6,25,0,0,0,0,29.7,33.3,26.9,8,31.5,2024-06-25
Paya Lebar,2024,6,26,0,0,0,0,30,34.2,26.9,8,27.8,2024-06-26
Paya Lebar,2024,6,27,0,0,0,0,28.9,31.7,26.8,6.7,22.2,2024-06-27
Paya Lebar,2024,6,28,0,0,0,0,28.9,33.9,26.4,5.7,29.6,2024-06-28
Paya Lebar,2024,6,29,9.6,4.8,8.4,9.6,28.5,31.4,25.2,5.3,27.8,2024-06-29
Paya Lebar,2024,6,30,26.8,15,18.4,23.4,26.4,28.4,23.5,4.8,29.6,2024-06-30
Paya Lebar,2024,7,1,36.4,19,23.8,24,27.3,33.1,24.5,4.1,33.3,2024-07-01
Paya Lebar,2024,7,2,1.4,0.4,0.8,1.2,28.5,32.1,25.9,6.4,27.8,2024-07-02
Paya Lebar,2024,7,3,0.4,0.4,0.4,0.4,28.9,32.8,26.2,8.6,37,2024-07-03
Paya Lebar,2024,7,4,0,0,0,0,30,33.3,27.6,13,38.9,2024-07-04
Paya Lebar,2024,7,5,0,0,0,0,28.9,33.9,26.5,5,33.3,2024-07-05
Paya Lebar,2024,7,6,25.8,22.6,25.6,25.6,28.6,32.3,24.1,6.2,24.1,2024-07-06
Paya Lebar,2024,7,7,11,9.6,10,18.4,27.3,33.4,25.1,4.6,24.1,2024-07-07
Paya Lebar,2024,7,8,4.2,1.4,2.4,3.2,26.7,31.4,25.3,4.8,27.8,2024-07-08
Paya Lebar,2024,7,9,7.4,6.8,7.4,7.4,27.5,30.5,25.2,7.9,33.3,2024-07-09
Paya Lebar,2024,7,10,0,0,0,0,28.6,31.9,25.7,7.8,33.3,2024-07-10
Paya Lebar,2024,7,11,0,0,0,0,29.5,31.9,27.5,14.7,37,2024-07-11
Paya Lebar,2024,7,12,62,47.6,58.6,60.4,27.5,32.1,21.4,7.7,50,2024-07-12
Paya Lebar,2024,7,13,0,0,0,0,28.6,32.7,24.5,9.9,29.6,2024-07-13
Paya Lebar,2024,7,14,0.4,0.4,0.4,0.4,29.1,32.1,26.7,11,37,2024-07-14
Paya Lebar,2024,7,15,0,0,0,0,29.6,32.5,26.9,13.2,37,2024-07-15
Paya Lebar,2024,7,16,0,0,0,0,29.5,32.7,28,14,37,2024-07-16
Paya Lebar,2024,7,17,0,0,0,0,29.6,32.4,27.8,13.2,37,2024-07-17
Paya Lebar,2024,7,18,0,0,0,0,29.9,33,27.9,13.9,38.9,2024-07-18
Paya Lebar,2024,7,19,0,0,0,0,30.1,33.4,28.3,13.5,35.2,2024-07-19
Paya Lebar,2024,7,20,0,0,0,0,30.1,33.1,28.2,14,33.3,2024-07-20
Paya Lebar,2024,7,21,0,0,0,0,30.2,33.4,28.5,14,35.2,2024-07-21
Paya Lebar,2024,7,22,0,0,0,0,30.2,33.4,28.5,13.7,33.3,2024-07-22
Paya Lebar,2024,7,23,0,0,0,0,30.2,33.6,28,12,31.5,2024-07-23
Paya Lebar,2024,7,24,0,0,0,0,30,33,28,12.7,37,2024-07-24
Paya Lebar,2024,7,25,0,0,0,0,29.9,33.1,27.8,13.6,37,2024-07-25
Paya Lebar,2024,7,26,0,0,0,0,30.1,33.3,28.2,15.4,37,2024-07-26
Paya Lebar,2024,7,27,0,0,0,0,30.1,33.9,28.2,14.4,33.3,2024-07-27
Paya Lebar,2024,7,28,0,0,0,0,30.3,34.2,28.2,15.4,37,2024-07-28
Paya Lebar,2024,7,29,0,0,0,0,30.1,33.4,28.2,13.3,33.3,2024-07-29
Paya Lebar,2024,7,30,0,0,0,0,29.8,33.7,27.5,10.8,31.5,2024-07-30
Paya Lebar,2024,7,31,0.8,0.8,0.8,0.8,29.1,34,26.5,9.8,33.3,2024-07-31
Paya Lebar,2024,8,1,0,0,0,0,29,33,25.9,9.3,40.7,2024-08-01
Paya Lebar,2024,8,2,0,0,0,0,29.2,32.7,27,8.6,33.3,2024-08-02
Paya Lebar,2024,8,3,0.2,0.2,0.2,0.2,29.7,33.5,27.1,10.6,33.3,2024-08-03
Paya Lebar,2024,8,4,19.4,10.8,12.8,14.6,27.3,30.7,24.5,7.6,50,2024-08-04
Paya Lebar,2024,8,5,0,0,0,0,28.4,32.6,25.1,7.8,25.9,2024-08-05
Paya Lebar,2024,8,6,0,0,0,0,28.9,34.4,25.8,9.3,37,2024-08-06
Paya Lebar,2024,8,7,0.8,0.8,0.8,0.8,28.6,32.4,25.2,7.8,46.3,2024-08-07
Paya Lebar,2024,8,8,2.4,1.2,2.2,2.4,29.5,32.7,26.5,10.3,29.6,2024-08-08
Paya Lebar,2024,8,9,5.2,2.6,3.6,3.6,28.6,33.4,25.8,9,37,2024-08-09
Paya Lebar,2024,8,10,0.6,0.6,0.6,0.6,27.6,30.9,25.6,6.9,40.7,2024-08-10
Paya Lebar,2024,8,11,0.6,0.2,0.4,0.4,28.7,31.7,25.8,10.3,27.8,2024-08-11
Paya Lebar,2024,8,12,3,3,3,3,29.1,33.2,26,10.1,29.6,2024-08-12
Paya Lebar,2024,8,13,0,0,0,0,29.7,33.1,27.8,14,38.9,2024-08-13
Paya Lebar,2024,8,14,22.2,12,12,13.6,27.1,30.2,24.8,6.3,37,2024-08-14
Paya Lebar,2024,8,15,0,0,0,0,28.2,32.2,25.1,7.9,35.2,2024-08-15
Paya Lebar,2024,8,16,0.2,0.2,0.2,0.2,28.9,31.5,26.6,10.6,33.3,2024-08-16
Paya Lebar,2024,8,17,0.4,0.4,0.4,0.4,28.6,32.1,26.5,9,35.2,2024-08-17
Paya Lebar,2024,8,18,0,0,0,0,29.1,33.1,26.7,8.9,29.6,2024-08-18
Paya Lebar,2024,8,19,0.2,0.2,0.2,0.2,29.5,32.6,27,8.3,29.6,2024-08-19
Paya Lebar,2024,8,20,0,0,0,0,28.6,32.9,26.8,8.3,37,2024-08-20
Paya Lebar,2024,8,21,0,0,0,0,28.6,31.5,25.9,7.8,33.3,2024-08-21
Paya Lebar,2024,8,22,0,0,0,0,29.5,34.1,26.6,7.8,27.8,2024-08-22
Paya Lebar,2024,8,23,0.2,0.2,0.2,0.2,29.2,33.9,26.8,8.3,31.5,2024-08-23
Paya Lebar,2024,8,24,13.6,6.4,7.8,8.2,27.1,30,25.2,9.3,38.9,2024-08-24
Paya Lebar,2024,8,25,10.2,9.8,10.2,10.2,27.4,30.7,23.8,7.3,48.2,2024-08-25
Paya Lebar,2024,8,26,0,0,0,0,29,32.2,25.9,8.4,27.8,2024-08-26
Paya Lebar,2024,8,27,0.4,0.4,0.4,0.4,28.9,32.1,25.5,7.7,57.4,2024-08-27
Paya Lebar,2024,8,28,1.4,0.6,1.2,1.4,28.6,33.8,24.2,8,27.8,2024-08-28
Paya Lebar,2024,8,29,0,0,0,0,28.9,32,25.9,9,35.2,2024-08-29
Paya Lebar,2024,8,30,0,0,0,0,29.5,33.5,26.9,10.3,33.3,2024-08-30
Paya Lebar,2024,8,31,0,0,0,0,29.6,33.6,27.2,10.2,35.2,2024-08-31
Paya Lebar,2024,9,1,0,0,0,0,29.9,33.6,26.6,10.3,31.5,2024-09-01
Paya Lebar,2024,9,2,0,0,0,0,30.4,34.4,28.1,13.3,37,2024-09-02
Paya Lebar,2024,9,3,0.4,0.4,0.4,0.4,29.6,33,27.1,8.2,35.2,2024-09-03
Paya Lebar,2024,9,4,17.6,7.2,11.2,15.8,27.4,31.4,24.1,8.8,38.9,2024-09-04
Paya Lebar,2024,9,5,0,0,0,0,29,33.3,25.3,9.7,31.5,2024-09-05
Paya Lebar,2024,9,6,0,0,0,0,29.8,33.7,27.7,10.9,31.5,2024-09-06
Paya Lebar,2024,9,7,1.2,1.2,1.2,1.2,30,33.6,28.1,13.8,44.4,2024-09-07
Paya Lebar,2024,9,8,0,0,0,0,29,32.4,26.5,8.7,40.7,2024-09-08
Paya Lebar,2024,9,9,4,3.2,3.2,3.2,28,32.4,26.2,6.9,37,2024-09-09
Paya Lebar,2024,9,10,10,3.4,6,7.8,28.3,31.7,23.7,8.3,35.2,2024-09-10
Paya Lebar,2024,9,11,0,0,0,0,29,33.6,26.8,6.9,29.6,2024-09-11
Paya Lebar,2024,9,12,1.2,1.2,1.2,1.2,28.8,31.8,24.9,12.7,33.3,2024-09-12
Paya Lebar,2024,9,13,0,0,0,0,29.9,33,26.7,11.4,33.3,2024-09-13
Paya Lebar,2024,9,14,31.6,14.8,24.8,28,27.9,31.5,23.4,9.3,42.6,2024-09-14
Paya Lebar,2024,9,15,3.8,1.6,2.6,3.8,27.8,30.4,25.7,6.9,29.6,2024-09-15
Paya Lebar,2024,9,16,0,0,0,0,29.2,33.5,26.3,12,33.3,2024-09-16
Paya Lebar,2024,9,17,16.4,14.6,16.4,16.4,29.4,33.5,23.8,10.4,66.7,2024-09-17
Paya Lebar,2024,9,18,0.2,0.2,0.2,0.2,29.4,33.5,26.3,11.8,38.9,2024-09-18
Paya Lebar,2024,9,19,0,0,0,0,29.6,32.5,27,10.5,33.3,2024-09-19
Paya Lebar,2024,9,20,10,10,10,10,29.7,33.2,23.7,11,40.7,2024-09-20
